source,cos_sim,target,level
"Основным архитектурным типом русского православного храма является крестово-купольный, заимствованный из Византии: в плане храм имеет форму креста; купол в виде полусферы или шлема опирается на столпы (от 4 до 12) и завершается крестом. ",0.24823915257951293,Купола храма завершаются крестами (см. крест). ,C_to_A
"Поэтому неудивительно, что самого баснописца русские называют дедушка Крылов (так поэт П.А. ",0.30627104985443687,"Баснописца знают и любят в России и сегодня,называют «дедушка Крылов».Многие строчки его басен стали крылатыми словами.",C_to_A
На картине изображена окраина небольшого города средней полосы России ранней весной. ,0.9346710112363711,На картине изображены окраины небольшого города средней полосы России ранней весной. ,C_to_A
"Петербург был задуман как «правильный город», построенный по плану, в едином стиле (в отличие от старой столицы – Москвы, которая развивалась столетиями, естественным путём). ",0.19313689534521739,Город строили русские и европейские архитекторы по строгому плану в едином стиле.,C_to_A
"Каждый год в день рождения поэта, 6 июня, любители творчества Пушкина собираются в Москве у его памятника на Пушкинской площади и читают стихи. ",0.3385202212146413,"6 июня, в день рождения Пушкина, в России отмечают День русского языка. ",C_to_A
"Выражение девятый вал означает что-то роковое, угрожающее опасностью, с чем невозможно бороться. ",0.7995556113118311,"Выражение девятый вал означает что-то очень опасное, с чем невозможно бороться. ",C_to_A
В.И. ,0.6873368218434847,В.И. ,C_to_A
"Зимние (см. зима) сапоги, сделанные из плотно сбитой шерсти.",0.9999999999999998,"Зимние (см. зима) сапоги, сделанные из плотно сбитой шерсти.",C_to_A
По сказке Островского Н.А. ,0.9586344740803622,По сказке Островского Н.А. ,C_to_A
Она знает язык животных и растений. ,1.0000000000000002,Она знает язык животных и растений. ,C_to_A
Картина получила широкую известность после появления её репродукции на фантиках  шоколадных конфет «Мишка косолапый» (начало ХХ века).,0.9751239022586962,Картина получила широкую известность после появления её репродукции на фантиках шоколадных конфет «Мишка косолапый» (начало ХХ века).,C_to_A
Похоронен в Москве на Новодевичьем кладбище.,0.5044673913078036,Похоронен в Москве.,C_to_A
Тема Великой Отечественной войны до сих пор остаётся одной из главных в русской литературе. ,0.3202099627403692,Слово война русские часто употребляют как синоним Великой Отечественной войны. ,C_to_A
"Онегин, уставший к этому времени от романов, не ответил Татьяне взаимностью. ",0.35736305226132936,К этому времени он уже устал от романов.,C_to_A
"К празднику подводились итоги работы, пускались в строй промышленные объекты, сдавались новые жилые дома; после зимнего перерыва открывались парки, включались фонтаны. ",0.4702908064891852,"К празднику подводили итоги работы,  после зимы начинали работать парки и фонтаны. ",C_to_A
"Сумарокова (первого директора театра), комедии И.А. ",0.3901504624541847,Сумароков. ,C_to_A
Но главным увлечением молодых лет героя была любовь – «наука страсти нежной».,0.2862671722982695,Главное увлечение юности Онегина – любовь.,C_to_A
Картина относится к числу самых известных произведений русской живописи и полотен художника.,0.9999999999999996,Картина относится к числу самых известных произведений русской живописи и полотен художника.,C_to_A
"На втором плане – Христос, который, по преданию, появился на холме в тот момент, когда крещеные люди выходили из воды. ",0.8769594789143146,"На втором плане на холме – Христос, который появился в тот момент, когда крещеные люди выходили из воды.",C_to_A
 В лесу она росла.,1.0, В лесу она росла.,C_to_A
"Сурикова («Сенатская площадь в зимнюю ночь», 1871 г.), работы художников объединения «Мир искусства» (М.В. ",0.22003498919135112,"Суриков, М.В. ",C_to_A
"При церквах и соборах находятся колокольни (см. колокол), стоящие перед ними или архитектурно объединенные с ними в одно целое.",0.3386507223957968,При храме находится колокольня (см. колокол). ,C_to_A
"Достоевского, А.П. ",1.0,"Достоевского, А.П. ",C_to_A
"Пушкина – одного из крупнейших музеев зарубежного изобразительного искусства в России, второго по значимости после Эрмитажа.",0.3645973594150291,В наше время в музее регулярно проходят выставки шедевров зарубежного изобразительного искусства и ежегодный,C_to_A
Немировичем-Данченко. ,0.9799924880983898,Немировичем-Данченко.,C_to_A
Островского. ,1.0,Островского. ,C_to_A
"Быстрицкая, Ю.И. ",0.20507010918148302,И. ,C_to_A
"При этом, качество дарёной шубы сильно различалось в зависимости от статуса получавшего подарок человека. ",0.14276843474045248,Дорогие шубы и сейчас остаются символом материального благополучия.,C_to_A
Полное издание романа было выпущено в 1833 г.,0.3644339091903436,В 1833 г. роман был опубликован.,C_to_A
"Тимошенко, Н.В. ",0.30674742749183714,и Н.В. ,C_to_A
Размеры 540 х 750 см.,1.0,Размеры 540 х 750 см.,C_to_A
"Другая Снегурочка – героиня русской народной сказки, вылепленная из снега и ожившая девочка, которая весной растаяла от тёплых солнечных лучей. ",0.2991983088091302,Весной она растаяла от тёплого солнца.,C_to_A
Сегодня  мхатом называют оба театра – и МХТ им. ,0.37595425992899384,Сегодня в Москве есть  МХТ им. ,C_to_A
"Онегин – представитель дворянской (см. дворянин) молодёжи 20-х годов ХIХ в. с характерным для неё критическим отношением к высшему свету, равнодушием к карьере, чувством личной независимости. ",0.4395190640946819,Онегин – представитель молодёжи 20-х годов ХIХ в. ,C_to_A
Фольклорный образ Иванушки-дурачка часто трактуется как один из типов русского национального характера (см. русские).,0.5800730065692467,Иванушку-дурачка считают одним из типов русского национального характера. ,C_to_A
Митлянского в Москве на Патриарших прудах. ,0.4016608855775389,Митлянский).,C_to_A
"Создана в 1881 г., находится в Третьяковской галерее (см. ",0.8775085629104125,"Картина написана в 1881 г., находится в Третьяковской галерее (см. ",C_to_A
На картине изображен обряд крещения. ,1.0000000000000004,На картине изображен обряд крещения. ,C_to_A
"В эти годы Пушкин написал несколько романтических поэм («Бахчисарайский фонтан», «Кавказский пленник» и др.), множество лирических стихотворений, начал работать над романом в стихах «Евгений Онегин». ",0.34485368090431745,"В эти годы он написал много лирических стихотворений, но в его произведениях появились и политические  мотивы. ",C_to_A
"Чайковского «Лебединое озеро» и «Спящая красавица», поставленные М. ",0.48655489596399,Чайковского «Спящая красавица» и «Щелкунчик» в постановке Мариуса Петипа. ,C_to_A
Успенского «Крокодил Гена и его друзья» (1966 г.). ,0.49667685322098104,Мультфильмы о Чебурашке были созданы в 1969-1983 гг. по книге Успенского «Крокодил Гена и его друзья».,C_to_A
Горького.,0.4806519162407683,Горького – Т.В. ,C_to_A
Пушкина.,0.9999999999999999,Пушкина.,C_to_A
"«Силы этой богатой натуры остались без приложения, жизнь без смысла, а роман без конца», – писал об Онегине русский критик В. ",0.973136784430456,"«Силы этой богатой натуры остались без приложения, жизнь без смысла, а роман без конца», – писал об Онегине русский критик В.Г. ",C_to_A
"Традиционно самыми распространенными мужскими головными уборами стали шапки-ушанки – меховые, кожаные или суконные шапки с отворотами, закрывающими уши, и шапки-треухи, то есть такие шапки, у которых «три уха» – два опускающихся наушника и отворот, закрывающий затылок.",0.24233382580801344,"В Древней Руси шапки были не просто головными уборами, а символами царской власти. ",C_to_A
С ХVIII в. в России на Рождество было принято наряжать ёлку. ,0.5464055108349652,С ХVIII в. на Рождество стали украшать ёлку. ,C_to_A
"В состоянии глубокого душевного кризиса и пытаясь ещё раз изменить свою жизнь, найти в ней интерес, Онегин отправляется в путешествие по России. ",0.3905890847537491,"Онегин хочет изменить свою жизнь, найти в ней смысл. ",C_to_A
Антон Павлович Чехов родился 29 января (17 января по старому стилю) в 1860 г. в Таганроге в семье владельца небольшой бакалейной лавки. ,0.6513998514192424,Антон Павлович Чехов родился  29 января 1860 г. в Таганроге.,C_to_A
Рождество отмечается и как традиционный государственный праздник. ,0.5057864441294647,Рождество стало и государственным праздником. ,C_to_A
Песня И.П. ,0.6762778159692088,Песня И. ,C_to_A
Они вместе поздравляют детей с Новым годом и дарят подарки (см. ,0.9999999999999998,Они вместе поздравляют детей с Новым годом и дарят подарки (см. ,C_to_A
Третьяковка). ,1.0,Третьяковка). ,C_to_A
Начиная с эпохи Древней Руси (см. ,0.8220272337151775,С эпохи Древней Руси (см. ,C_to_A
"Чайковского, «Снегурочка» Н.А. ",0.37719074213002896,Чайковского. ,C_to_A
"Гёте, «Медею» Еврипида и др. ",0.36006940282756994,Гёте и др.,C_to_A
При театре работает Хореографическое училище.,0.4992107941604758,При Большом театре работает Академия Хореографии.,C_to_A
"Билибиным (иллюстрации к сказке «Василиса Прекрасная», 1902 г.) и В.М. ",0.39879223554327453,Билибин и В.М. ,C_to_A
"Широко известны пасхальные яйца, изготовленные из драгоценных металлов и камней мастерами фирмы известного русского ювелира Карла Фаберже. ",0.5056065838189784,Знаменитый русский ювелир Карл Фаберже создал коллекцию пасхальных яиц из драгоценных металлов и камней.,C_to_A
Серова.,1.0,Серова.,C_to_A
-В. ,0.9999999999999998,-В. ,C_to_A
"Брехта, В.Э. ",0.6355233717232,Брехта.,C_to_A
"В начале сказки Иван-царевич бывает печален и даже несчастлив, но в конце – обязательно победит зло и женится на прекрасной царевне.",0.3117008290437524,"В начале сказки Иван-царевич попадает в трудные ситуации и часто не знает, что делать.",C_to_A
"В сказочных сюжетах Иван-царевич обязательно проходит через ряд испытаний, совершает подвиги, рискует жизнью прежде, чем достигает желанной цели и счастья. ",0.5178312339990747,"Иван-царевич совершает подвиги, рискует жизнью. ",C_to_A
Мейерхольд. ,1.0000000000000002,Мейерхольд. ,C_to_A
Многие лирические стихотворения поэта положены на музыку и стали романсами. ,0.7717844290833279,"Многие лирические стихотворения поэта стали романсами,  ",C_to_A
Картина В.Д. ,1.0,Картина В.Д. ,C_to_A
"Толстой, Ф.М. ",1.0000000000000004,"Толстой, Ф.М. ",C_to_A
С 1820−х гг. театр стали называть малым. ,0.4733982173415616,Поэтому театр стали называть Малым. ,C_to_A
"Холодным борщом (холодником, свекольником) называют суп, приготовленный на охлажденном свекольном отваре или кефире вместо мясного бульона. ",0.42892087464891016,"Холодным борщом называют суп на холодном свекольном  бульоне  или кефире с варёными овощами (свёкла, картофель), свежим огурцом,  зеленью и сметаной.",C_to_A
С двенадцатым ударом часов все встают и поднимают бокалы шампанского со словами: «С Новым годом! ,0.9572965195746304,С двенадцатым ударом все встают и поднимают бокалы шампанского со словами: «С Новым годом! ,C_to_A
"Год рождения театра – 1776 г., когда в Москве была организована первая профессиональная театральная труппа. ",0.48938349062445097,"В 1776 г. в Москве была создана первая театральная труппа, и в 1780 г. построено первое здание театра.",C_to_A
"В это время написаны наиболее известные рассказы и повести: «Палата № 6», «Попрыгунья», «Скрипка Ротшильда», «Ионыч», «Чёрный монах», «Человек в футляре», «Дом с мезонином», «В овраге» и «Мужики».",0.3042439687303005,"Здесь он жил с родителями, братом и сестрой до 1899 года:  лечил крестьян, строил школы, написал более 40 повестей и рассказов («Палата № 6», «Моя жизнь», «Человек в футляре», «Мужики» и др.), пьесы «Чайка» и «Дядя Ваня».",C_to_A
В 1980 г. перед зданием галереи был открыт памятник П.М. ,0.8974794562834597,В 1980 г. перед зданием галереи был открыт памятник П.М. ,C_to_A
"День рождения иногда называют именинами, а виновника торжества − именинником или новорожденным, независимо от возраста.",0.2675920192652718,"На день рождения именинник приглашает родственников, друзей, коллег.   ",C_to_A
"У Дня Победы сложился торжественный ритуал: утром по всей стране начинаются шествия к монументам Славы, мемориалам Победы, Могилам Неизвестного Солдата, памятникам жертвам фашизма, возлагаются цветы и венки с надписями: «Вечная память погибшим за Родину», «Никто не забыт и ничто не забыто», «Имя твоё неизвестно − подвиг твой бессмертен».",0.05825416760035473,Вечером в 19 часов в стране наступает минута молчания.,C_to_A
"По русскому обычаю, надо сначала проводить старый год: вспомнить всë, что в нëм было, и выпить бокал вина (рюмку водки) за уходящий год. ",0.49300279399331004,"По традиции  вечером 31 декабря все провожают старый год, выпивают бокал вина (рюмку водки) за уходящий год. ",C_to_A
", Да здравствует 1 Мая – День международной солидарности трудящихся!",0.5308698569378882,Советский Союз) период праздник назывался День международной солидарности трудящихся. ,C_to_A
"В песне поется о маленькой красивой ёлочке, которая из лесу пришла на праздник к  детям:",1.0000000000000002,"В песне поется о маленькой красивой ёлочке, которая из лесу пришла на праздник к  детям:",C_to_A
"Там пекут блины, устраивают катания на тройках (см. тройка) и народные игры, показывают театрализованные представления.",0.5717116909961625,"Там тоже пекут блины, катаются на тройках (см. тройка), играют и танцуют.",C_to_A
Новый год) в России.,1.0,Новый год) в России.,C_to_A
"С 2005 г., когда праздновалось 60−летие Победы Советского Союза в Великой Отечественной войне, появилась традиция привязывать оранжево−чёрные Георгиевские ленточки (см. ",0.5676141211431398,В 2005 г. появилась новая традиция привязывать оранжево-чёрные Георгиевские ленточки (см. ,C_to_A
"Пушкина; «Нос», «Портрет», «Записки сумасшедшего», «Невский проспект», «Шинель», «Мёртвые души» Н.В. ",0.285566137493338,"Гоголь в повести «Невский проспект»,  Ф.М. ",C_to_A
"Москва разделена на 12 административных округов, которые делятся на 125  районов  и на поселения (на территории Новой Москвы).  ",0.10894250584138751,статья в  работе,C_to_A
Успех чеховских спектаклей был огромен. ,0.35659361400983997,Спектакли имели огромный успех. ,C_to_A
В 1895 г. в Мариинском театре состоялась новая премьера «Лебединого озера» в постановке хореографов Мариуса Петипа и Льва Иванова. ,0.8726880146358789,В 1895 г. в Мариинском театре состоялась новая премьера «Лебединого озера» в постановке хореографов Мариуса Петипа.,C_to_A
"Русь), в школьных (см. школа) учебниках по истории и русской художественной культуре.",0.9187301899515599,"Русь), в школьных  (см. школа) учебниках  по истории и русской художественной культуре. ",C_to_A
"Жидкое горячее блюдо, суп из свëклы и других овощей.",0.6478682373838369,Cуп из свëклы и других овощей.,C_to_A
С 1992 г. ,1.0000000000000002,С 1992 г. ,C_to_A
Чехова стал О.П. ,0.5827259166063997,Чехова – О.П. ,C_to_A
"Очень часто 9 Мая бывает одним из первых тёплых весенних (см. весна) дней, и поэтому многие в этот день выходят просто погулять по празднично украшенным улицам, идут в гости к ветеранам войны, выезжают за город, на дачу.",0.8187664594992531,"Очень часто 9 Мая бывает одним из первых тёплых весенних (см. весна) дней, и поэтому многие в этот день выходят просто гулять по праздничным улицам, идут в гости, едут за город.",C_to_A
"Сюжет сказки прост: Колобок, испечённый старухой из последних запасов муки, убегает из дому, встречает на своём пути разных зверей: зайца, волка, медведя и лису, каждый из них хочет его съесть.",0.39602966511238774,Каждый из них хочет его съесть.,C_to_A
Третьяковка). ,1.0,Третьяковка). ,C_to_A
Поэт был похоронен в Святогорском монастыре недалеко от Михайловского.,0.7406388708617879,Могила поэта  находится в Святогорском монастыре недалеко от Михайловского.,C_to_A
Отмечается 9 мая. ,1.0,Отмечается 9 мая. ,C_to_A
В 1987 г. коллектив театра разделился на две самостоятельные труппы. ,0.8097869270910679,В 1987 г. коллектив театра разделился на две труппы. ,C_to_A
"Народные гулянья на Масленицу – тема многих картин русских художников, среди которых наиболее известна «Масленица» Б.М. ",0.8803234609989077,"Народные гулянья на Масленицу − тема многих картин русских художников, наиболее известна «Масленица» Б.М. ",C_to_A
Официальное название Праздник весны и труда.,1.0000000000000002,Официальное название Праздник весны и труда.,C_to_A
Картина А. ,1.0,Картина А. ,C_to_A
"В начале ХIХ в. в Большом театре ставились в основном произведения французских и итальянских авторов, но вскоре появились первые оперы и балеты русских композиторов А. ",0.31170418929824456,В конце ХVIII – начале XIX в. на сцене театра шли в основном произведения европейских авторов.,C_to_A
"На Таганке не было традиционного занавеса, почти не использовались декорации, их заменяли различные сценические конструкции.",0.3546290584383398,"На сцене был минимум декораций, не было занавеса, традиционных театральных костюмов, звучали песни и стихи. ",C_to_A
"Дата рождения человека, которая отмечается как бытовой, домашний праздник.",0.9999999999999998,"Дата рождения человека, которая отмечается как бытовой, домашний праздник.",C_to_A
В первомайские дни красными флагами и политическими плакатами украшались улицы. ,0.7404280899533779,Улицы украшали красными флагами и политическими  плакатами. ,C_to_A
Роман «Евгений Онегин» – одно из самых известных произведений Пушкина и русской классической литературы в целом. ,0.2871298736195141,Чайковский написал оперу «Евгений Онегин». ,C_to_A
Крупнейшими православными храмами России являются восстановленный Храм Христа Спасителя в Москве и Исаакиевский собор в Петербурге.,0.8485357413930591,Самыми большими православными храмами России являются Храм Христа Спасителя в Москве и Исаакиевский собор в Петербурге. ,C_to_A
Мамонтова. ,1.0000000000000002,Мамонтова. ,C_to_A
"Через три года он возвращается в Петербург и, сразу же попав на бал, встречает Татьяну, уже светскую даму, жену генерала. ",0.3626071229741397,"Она уже светская дама, жена генерала. ",C_to_A
Главная Ëлка страны − в Московском Кремле.,0.9889438789469248,Главная Ëлка страны − в Московском Кремле. ,C_to_A
С 2006 г. театр проводит международный театральный фестиваль «Александринский».,1.0,С 2006 г. театр проводит международный театральный фестиваль «Александринский».,C_to_A
"Верстовского, А.А. ",0.15144719843644838,"Глинки, А.С. ",C_to_A
С театром сотрудничали композиторы Э.В. ,1.0,С театром сотрудничали композиторы Э.В. ,C_to_A
"В России праздник 8 Марта был впервые отмечен в 1913 г., через несколько лет после решения II Международной конференции социалисток (1910 г.) о ежегодном праздновании Международного женского дня как дня солидарности женщин всего мира в борьбе за экономическое, социальное и политическое равноправие. ",0.5663428412603668,"Это был день солидарности женщин всего мира в борьбе за экономическое, социальное и политическое равноправие.",C_to_A
"Сказочный сюжет строится так, что Иванушке предстоит пройти испытания на храбрость (победить злые силы), на доброту (отдать последнее тому, кто в беде), на честность (выполнить данную клятву, не взять чужого) или на сообразительность. ",0.11381343973278478,"Всем понятно, что он храбрый, добрый, умный и честный человек.",C_to_A
"Глинки, «Борис Годунов» М.П. ",1.0,"Глинки, «Борис Годунов» М.П. ",C_to_A
В основе сюжета лежит история любви Евгения Онегина и Татьяны Лариной. ,0.5072611012225805,и Татьяны Лариной.,C_to_A
"Валенки − лёгкая, мягкая и очень тёплая обувь для зимы. ",0.8166871538805531,"Валенки − лёгкая, мягкая, удобная и очень тёплая обувь. ",C_to_A
"Вернувшись в Россию, открыл школу для крестьянских (см. крестьянин) детей в Ясной Поляне, а затем – более 20 школ в окрестных деревнях (см. деревня). ",0.3486054798042728,"После войны вернулся в Ясную Поляну, открыл школу для крестьянских детей, писал для них буквари, учебники, книги для чтения.",C_to_A
"Там он встречает Татьяну Ларину, любовь которой не находит ответа в его сердце; пытается подружиться с поэтом-романтиком Владимиром Ленским, но вскоре убивает его на дуэли после нелепой ссоры. ",0.35248197383800445,В деревне Онегин также знакомится с поэтом-романтиком Владимиром Ленским. ,C_to_A
Третьяковка). ,1.0,Третьяковка). ,C_to_A
И хотя тема «маленького человека» не была новой в русской литературе (А.С. ,0.23677102590407145,Героем произведений писателя стал «маленький человек».,C_to_A
Ершова «Конëк-Горбунок» (1834 г.). ,0.9935394327498233,Ершова «Конëк-Горбунок» (1834 г.).,C_to_A
"Среди самых известных музыкальных произведений, посвящённых Петербургу – «Вечерняя песня» В.П. ",0.45382533897948796,Глиэра и «Вечерняя песня» В.П. ,C_to_A
В последние годы в России появилась традиция проведения Пасхальных фестивалей искусств.,1.0000000000000004,В последние годы в России появилась традиция проведения Пасхальных фестивалей искусств.,C_to_A
Занятия совмещал с литературным творчеством. ,0.2799762323599591,После окончания учебы стал работать врачом в небольшом  городке недалеко от Москвы и заниматься литературным творчеством. ,C_to_A
Осень 1830 г. провёл в своем имении Болдино в Нижегородской губернии. ,0.35091780678745554,Пушкин прожил в своем имении  – в селе Болдино. ,C_to_A
Коренным переломом считается Сталинградская битва 1942-1943 гг. ,0.29900373881889913,В начале 1943 г. фашистские войска потерпели поражение в Сталинградской битве (Битва на Волге); летом 1943 г. – в Курской битве.,C_to_A
Крылов работал библиотекарем в Императорской публичной библиотеке в Петербурге. ,0.6441342338329799,С 1810 года и до конца жизни он работал библиотекаремв Императорской библиотеке  Петербурга.,C_to_A
Рейзингером в феврале I877 г. в Большом театре.,0.4667501565794229,"Композитор написал его в 1876 г, а первая постановка была в феврале I877 г. в Большом театре.",C_to_A
Имя Иванушка – уменьшительно-ласкательная форма самого распространённого в старину русского мужского имени Иван.,0.7281036688956165,Имя Иванушка – уменьшительная форма самого популярного в прошлом русского мужского имени Иван.,C_to_A
"Православие) храм называется церковь (в отличие от костёла в католичестве, мечети в мусульманстве и т. п.); главный или большой храм (церковь) в городе или в монастыре называется собор.",0.38655214912645314,Небольшой храм называется церковь.,C_to_A
"В нём хранится большая коллекция рукописей VI−XX вв., среди которых рукописи на церковно−славянском, древнегреческом языках, латыни, современных славянских, западноевропейских и восточных языках, а также рукописи произведений русских писателей−классиков А.И. ",0.43673573973177954,В том числе коллекция древних рукописей на разных языках и рукописей произведений русских писателей-классиков - А.И. ,C_to_A
"В конце ХIХ в. появились первые поздравительные рождественские открытки с изображением библейских сюжетов, русских церквей (см. церковь), зимних пейзажей, ёлок и словами поздравления: «С Рождеством Христовым!» ",0.5372249900439315,С конца ХIХ в. начали выпускать рождественские открытки со словами поздравления: «С Рождеством Христовым!» ,C_to_A
"Читатель встречается с Онегиным, когда тому уже «наскучил жизни шум», ни чтение, ни сочинительство его тоже не увлекали – «как женщин, он оставил книги». ",0.36450534854222183,"Читатель встречается с Онегиным, которому уже скучно в Петербурге, везде и со всеми. ",C_to_A
"В борщ также добавляют укроп, петрушку, чëрный перец, лавровый лист и чеснок. ",0.43202005769753826,"На столе в  тарелку борща добавляют укроп, петрушку и сметану.",C_to_A
До Октябрьской революции 1917 г. и в советский (см. ,0.3527189057389008,В советский (см. ,C_to_A
"Чехов и др.), выдающиеся учёные (Д.И. ",0.444707687325453,Чехов и  учёные: Д.И. ,C_to_A
