source,cos_sim,target,level
В 2013 г. была открыта новая сцена театра.,0.6954299804210443,В 2013 г. открылась вторая сцена театра.,B_to_A
"Пушкин работал над романом с 1823 до 1830 г., публикуя его по главам. ",0.28003771519850296,Пушкин написал роман в 1823-1830 гг.,B_to_A
 В лесу она росла.,1.0, В лесу она росла.,B_to_A
На сюжет романа П.И. ,0.30035579061510115,П.И. ,B_to_A
Роман в стихах А.С. ,1.0,Роман в стихах А.С. ,B_to_A
"Самокиш-Судковской, Л.Я. ",0.8004728933865745,Самокиш-Судковская,B_to_A
В 1855-1856 гг. по проекту архитектора А. ,0.7877681023524155,Современное здание Большого театра построено в 1855-1856 гг. по проекту архитектора А. ,B_to_A
Вязание варежек − традиционный вид женского рукоделия. ,0.9904102357822758,Вязание варежек − традиционный вид женского рукоделия.,B_to_A
С этого времени до 1920 г. театр назывался Александринским – в честь императрицы Александры Фёдоровны – супруги Николая I. ,0.783066187782554,С этого времени и до 1920 года театр назывался  Александринским в честь императрицы Александры Фёдоровны. ,B_to_A
"Масленица отмечается за восемь недель до Пасхи, обычно в конце февраля − начале марта и длится семь дней перед Великим  постом.",0.25288758539897127,Праздник проходит  семь дней.,B_to_A
"Основным архитектурным типом русского православного храма  является крестово-купольный,  заимствованный из Византии: в плане храм имеет форму креста; купол опирается на столпы (от 4 до 12) и завершается крестом. ",0.25576630473892303,Купола храма завершаются крестами (см. крест). ,B_to_A
Гоголем в повести «Ночь перед Рождеством». ,0.17630042728046236,Самое известное произведение на тему Рождества − повесть Н.В. ,B_to_A
Русская национальная женская одежда: платье без рукавов.,0.921845524920683,"Русская национальная женская одежда, платье без рукавов.",B_to_A
В 1949-1953 гг. в музее находилась «Выставка подарков И.В. ,0.8741616219977484,В 1949-1953 гг. в музее находилась «Выставка подарков И.В. ,B_to_A
"В 1989 г., во время перестройки, коллектив театра обратился с просьбой к Любимову вернуться в Советский Союз и в театр. ",0.3306447517301425,В 1989  г. во время перестройки режиссёр вернулся на Родину и работал в театре до 2011 г.,B_to_A
Со временем шапка в холодном российском климате стала обязательным элементом повседневной зимней (см. зима) одежды для всех сословий. ,0.6040983501544593,Со временем шапка стала обычной зимней (см. зима) одеждой для всех. ,B_to_A
"У Дня Победы сложился торжественный ритуал: утром по всей стране начинаются шествия к монументам Славы, мемориалам Победы, Могилам Неизвестного Солдата, памятникам жертвам фашизма, возлагаются цветы и венки с надписями: «Вечная память погибшим за Родину», «Никто не забыт и ничто не забыто», «Имя твоё неизвестно − подвиг твой бессмертен».",0.5427405400480729,"На венках надписи: «Никто не забыт и ничто не забыто», «Имя твоё неизвестно − подвиг твой бессмертен».",B_to_A
"Создана в 1837-1857 гг., находится в Третьяковской галерее (см. ",1.0,"Создана в 1837-1857 гг., находится в Третьяковской галерее (см. ",B_to_A
В конце 1840-х гг. писатель сблизился с политическим кружком М.В. ,0.27359110395995884,Достоевский входит в политический кружок М.В. ,B_to_A
Детская новогодняя песня (см. ,0.9999999999999998,Детская новогодняя песня (см. ,B_to_A
"В песне поётся о том, что все  –  и дети, и взрослые хотят мира на Земле. ",0.9267733613305495,"В песне поётся о том, что все – и дети, и взрослые хотят мира на Земле.",B_to_A
"Например, слова «Мы строили, строили и, наконец построили» повторяют, когда хотят иронически оценить долгожданный результат. ",0.588286829839419,"Например, фраза «Мы строили, строили и, наконец построили». ",B_to_A
"«Лебединое озеро» больше века не выходит из репертуара музыкального театра, оно стало своего рода визитной карточкой русского балета, постоянно входит в афишу гастролей Большого театра и других театров России.",0.717417042076194,"«Лебединое озеро» - визитная карточка русского балета, всегда входит в афишу гастролей Большого театра и других театров России.",B_to_A
Успех чеховских спектаклей был огромен.,0.3653107312513765,Спектакли имели огромный успех. ,B_to_A
"Размеры 62×48,5 см.",1.0000000000000004,"Размеры 62×48,5 см.",B_to_A
К. ,1.0,К. ,B_to_A
Похоронен в Москве на Новодевичьем кладбище.,0.5042130645002294,Похоронен в Москве.,B_to_A
"Одетая в очень красивую, украшенную серебром шубку (см. шуба), сапожки и шапку, отделанную мехом, она помогает Деду Морозу проводить Ëлку, вместе с ним дарит подарки детям.",0.30221085529742847,Снегурочка вместе с Дедом Морозом приходит к детям на Ëлку и дарит подарки.,B_to_A
"Щедрина, «Вид Казанского собора в Петербурге» Ф.Я. ",0.4161660732333342,"Щедрин, Ф.Я. ",B_to_A
иногда используются  в лозунгах.,1.0,иногда используются  в лозунгах.,B_to_A
На картине изображена окраина небольшого города средней полосы России ранней весной. ,0.9349902477935738,На картине изображены окраины небольшого города средней полосы России ранней весной. ,B_to_A
"Дата рождения человека, которая отмечается как бытовой, домашний праздник.",0.2601745112713743,"День рождения отмечают обычно дома, в кафе или в ресторане. ",B_to_A
Березине «великая армия» была окончательно разгромлена. ,0.3331087432334163,Поздней осенью бывшая «Великая армия»  уходила из России и была окончательно разбита окрепшей русской армией и партизанами.,B_to_A
Тема Великой Отечественной войны многие десятилетия остаётся одной из главных в русской литературе. ,0.29896681767220806,Слово война русские часто употребляют как синоним Великой Отечественной войны. ,B_to_A
"В наше время праздник проходит в парках, на городских площадях, на территории этнографических музеев. ",0.9999999999999997,"В наше время праздник проходит в парках, на городских площадях, на территории этнографических музеев. ",B_to_A
Петербург изображен на картинах  многих художников ХVIII – XX вв. ,0.6459483975905363,Петербург изображали на картинах многие художники ХVIII-XX вв. ,B_to_A
"Денисов, А.Г. ",0.9999999999999999,"Денисов, А.Г. ",B_to_A
Это происходит в ночь с 13 на 14 января. ,0.9889737745234215,Это происходит в ночь с 13 на 14 января.,B_to_A
В России отмечается 7 января как государственный праздник. ,0.8738755133319918,В России отмечают 7 января как государственный праздник. ,B_to_A
Бегичева и В.Ф. ,1.0,Бегичева и В.Ф. ,B_to_A
В.И. ,1.0,В.И. ,B_to_A
Имя И.А. ,0.6078626526612629,И.А. ,B_to_A
"Среди наиболее известных отечественных киноверсий − фильм «Идиот» (1958 г.) и телесериал 2005 г. по этому роману; «Братья Карамазовы» (1969 г.), «Преступление и наказание» (1970 г.).  ",0.7862780388653362,"Многие произведения писателя экранизированы: фильм «Идиот» (1958 г.) и телесериал 2005 г. по этому же роману; «Братья Карамазовы» (1969 г.), «Преступление и наказание» (1970 г.) и др.",B_to_A
"Масленица вошла в одну из народных пословиц: Не всё коту Масленица, будет и Великий пост. ",1.0000000000000002,"Масленица вошла в одну из народных пословиц: Не всё коту Масленица, будет и Великий пост. ",B_to_A
Боровский. ,1.0,Боровский. ,B_to_A
Дед Мороз стал героем мультипликационных фильмов-сказок с современными сюжетами: «Когда зажигаются ёлки» (режиссёр М.С. ,0.9006452430103681,Дед Мороз стал героем мультфильмов и фильмов-сказок с современными сюжетами: «Когда зажигаются ёлки» (режиссёр М.С. ,B_to_A
"Текст песни очень простой, мелодия меняется от быстрой танцевальной до широкой напевной (так поются слова куплета – «Красавица, душа-девица, полюби же ты меня…»).",0.9827019525165513,"Текст песни очень простой, мелодия меняется от быстрой танцевальной до широкой напевной (так поются слова куплета – «Красавица, душа-девица, полюби же ты меня…»).",B_to_A
Крестьяне (см. крестьянин) и рабочие (см. рабочий) носили шапки-ушанки из дешёвого меха.,0.26543709740073934,"Бояре, дворяне, купцы носили шапки из дорогого меха;",B_to_A
Мойке в Петербурге; Национальный парк-заповедник Михайловское; музей-квартира Пушкина на Арбате в Москве. ,0.4014142810512227,"Самые известные пушкинские музеи находятся  в Петербурге на Мойке, в Москве на Арбате, в Михайловском и в Болдино. ",B_to_A
Борщ – одно из самых распространенных первых блюд традиционной русской кухни. ,0.6218766603532639,Борщ – традиционное блюдо русской кухни.,B_to_A
"На переднем плане – берёзы (см. берёза) и грачи – птицы, которые весной возвращаются в Россию из теплых стран.",0.9659736070610344,"На переднем плане – берёзы (см. берёза) и грачи – птицы, которые весной возвращаются в Россию из тёплых стран.",B_to_A
"Всем детям с первых лет жизни известна песенка Колобка, которую он поёт при встрече с каждым из зверей. ",0.4615911605179038,Все дети с первых лет жизни знают песенку Колобка. ,B_to_A
"Размеры 295,3×446 см. ",1.0,"Размеры 295,3×446 см. ",B_to_A
Музей находится в центре Москвы. ,0.9999999999999999,Музей находится в центре Москвы. ,B_to_A
"Римского-Корсакова, «Евгений Онегин», «Пиковая дама», «Мазепа» П.И. ",0.7936525973268628,"Римского-Корсакова, «Евгений Онегин» и  «Пиковая дама» П.И. ",B_to_A
"Теперь она – жена генерала, героя Отечественной войны 1812 г., великолепная светская дама. ",0.45662516718956936,Её муж – генерал и герой Отечественной войны 1812 г. ,B_to_A
Песня И.П. ,0.6722766494424217,Песня И. ,B_to_A
"Достоевского, А.П. ",0.9059913796944662,"Достоевского, А.П. ",B_to_A
Классический зрительный образ Бабы-Яги создан знаменитыми русскими художниками-иллюстраторами: И.Я. ,0.7538275837127639,Классический образ Бабы-Яги создали знаменитые русские художники-иллюстраторы: И.Я. ,B_to_A
Кустодиева (1919 г.).,1.0000000000000004,Кустодиева (1919 г.).,B_to_A
Циолковский и др.). ,0.7267051423746956,Циолковский. ,B_to_A
Белюкина.,0.6187866946278331,"Белюкин, Л.Я. ",B_to_A
Картина относится к числу самых известных произведений русской живописи и полотен художника. ,0.9999999999999994,Картина относится к числу самых известных произведений русской живописи и полотен художника. ,B_to_A
"Пожар, охвативший город, уничтожил запасы продовольствия, сгорело около 70 % домов. ",0.5849568588204254,В пожаре сгорело около 70% домов и запасы продовольствия.,B_to_A
Ошанина. ,1.0,Ошанина. ,B_to_A
"После поездки в 1833 г. на Волгу и на Урал он написал историческое сочинение «История Пугачёва» и повесть «Капитанская дочка», посвящённые крестьянскому восстанию под предводительством Е.И. ",0.40196565962544134,"В 30-е гг. поэт много работал над произведениями на темы русской истории ХVIII века: «История Пугачёва»,  повесть «Капитанская дочка». ",B_to_A
"Начиная с середины ХVIII в. на Новый год стали проводить праздничные вечера, балы, маскарады, устраивать фейерверки.",0.7532367734046787,"С середины ХVIII в. на Новый год стали проводить праздничные вечера, балы, маскарады.",B_to_A
"В 1826 г. по решению нового императора Николая I, ставшего личным цензором поэта, он был возвращён из ссылки. ",0.18010483282226164,Это стало причиной решения императора Александра I ,B_to_A
С. ,1.0,С. ,B_to_A
Московский Кремль) открыт мемориал «Могила Неизвестного солдата» и  зажжён вечный  огонь.,0.5464117494982589,В 1967 г. в Москве у Кремлёвской стены был открыт мемориал «Могила Неизвестного солдата».,B_to_A
"Толстой, Ф.М. ",0.9999999999999998,"Толстой, Ф.М. ",B_to_A
Культовое здание для богослужений и выполнения религиозных обрядов.,0.511871908851175,Здание для проведения церковной службы и религиозных обрядов.,B_to_A
"Поэтому неудивительно, что самого баснописца русские называют дедушка Крылов (так поэт П.А. ",0.3007266893062177,"Баснописца знают и любят в России и сегодня,называют «дедушка Крылов».Многие строчки его басен стали крылатыми словами.",B_to_A
Его произведения включены в школьную программу по литературе.,0.6624782134800072,Его рассказы и пьесы входят в школьную программу по литературе.,B_to_A
"Находится в центре Москвы в Лаврушинском переулке, в комплексе зданий, построенных вокруг домов купцов Третьяковых, где первоначально располагалась коллекция картин. ",0.2691003654297538,Она находится в центре Москвы.,B_to_A
Третьяковка). ,0.9999999999999999,Третьяковка). ,B_to_A
"Среди самых известных музыкальных произведений, посвященных  Петербургу  – «Вечерняя песня» В.П. ",0.5913842288437762,"Среди самых известных музыкальных произведений, посвященных  Петербургу, – «Гимн великому городу» Р.М. ",B_to_A
"Она остаётся верной женой, хотя и не скрывает, что, как и раньше, любит Евгения.",0.1532290691469766,"Онегин понимает, что полюбил её.",B_to_A
Немирович-Данченко. ,0.6836927612734064,Немировичем-Данченко.,B_to_A
Её читателями были знаменитые русские писатели (Л.Н. ,0.8138399266104649,Её читателями были знаменитые русские писатели: Л.Н. ,B_to_A
Официальное название Праздник весны и труда.,0.9999999999999996,Официальное название Праздник весны и труда.,B_to_A
"Третьяковская галерея – крупнейший и богатейший музей России, сопоставимый с Лувром в Париже, поэтому слово Третьяковка иногда употребляется метафорически для называния какой-либо большой коллекции художественных произведений.",0.6813452801304098,Слово Третьяковка иногда употребляется метафорически для называния какой-либо большой коллекции художественных произведений.,B_to_A
Создан в 1964 г. ,0.3143479428364841,Театр создан в 1964 г. актёром и режиссёром Ю.П. ,B_to_A
"Шекспира, «Евгений Онегин» по роману А.С. ",0.6827304199743617,"Булгакову, «Евгений Онегин» по роману А.С. ",B_to_A
"В основе балетного либретто лежит фантастическая история о девушке Одетте, превращённой злым волшебником в лебедя. ",0.5993325191694572,"«Лебединое озеро» – фантастическая история о девушке Одетте, которую злой волшебник превратил в лебедя. ",B_to_A
"Каюров, И.В. ",0.9999999999999997,"Каюров, И.В. ",B_to_A
"Пастернака, «Театральный роман» по М.А. ",1.0,"Пастернака, «Театральный роман» по М.А. ",B_to_A
Образ  Петербурга  – одна из основных тем русского искусства и литературы.  ,0.22963517525255198,"В Петербурге находится музей европейского искусства – Эрмитаж,",B_to_A
С 2003 года художественным руководителем театра является Валерий Фокин.,0.37101535081601494,Сегодня главный режиссёр театра Валерий Фокин.,B_to_A
Третьяковка). ,0.9999999999999999,Третьяковка). ,B_to_A
Третьяковка). ,0.9602276699226002,Третьяковка).,B_to_A
Радостное настроение картины сразу передаётся зрителю.,1.0000000000000002,Радостное настроение картины сразу передаётся зрителю.,B_to_A
"Православие) храм называется церковь (в католичестве – костёл, в мусульманстве – мечеть и т.п.); главный или большой храм (церковь) в городе или в монастыре называется собор.",0.3979204908652704,Небольшой храм называется церковь.,B_to_A
"В русском  фольклоре существует и другая Снегурочка, героиня русской народной сказки – вылепленная из снега и ожившая девочка, которая весной растаяла от тёплых солнечных лучей. ",0.2678692714527704,Весной она растаяла от тёплого солнца.,B_to_A
М. ,1.0,М. ,B_to_A
"В наше время традиционные русские сарафаны вместе с вышитой рубахой и кокошником (головным убором в виде щитка надо лбом) остаются обязательной принадлежностью русского национального костюма, их надевают участницы фольклорных ансамблей, народных хоров во время выступлений. ",0.41506520493496823,В наше время традиционный русский сарафан – элемент костюма фольклорного ансамбля или русского народного хора.,B_to_A
"В старину валенки носили и в деревне, и в городе. ",0.7701907029179669,"В прошлом валенки носили и в деревне, и в городе. ",B_to_A
Многие  годы Таганка оставалась одним из самых популярных театров страны. ,0.9618030995952549,Многие годы Таганка оставалась одним из самых популярных театров страны. ,B_to_A
Московский Художественно-Общедоступный театр создан в 1898 г. ,0.4393290768021162,МХТ (Московский Художественный Театр) создан в 1898 г. ,B_to_A
«Александринка» – любимый театр жителей Петербурга и всей страны. ,1.0000000000000002,«Александринка» – любимый театр жителей Петербурга и всей страны. ,B_to_A
«Государственный Эрмитаж» – один из крупнейших художественных музеев мира.,0.8149428400453814,«Государственный Эрмитаж» – один из самых крупных художественных музеев в мире.,B_to_A
"Добужинского, Е.П. ",0.4855325733099828,"Добужинский, Д.А. ",B_to_A
Вскоре из-за глупой ссоры он убивает Ленского на дуэли. ,0.6054695146223793,Вскоре после глупой ссоры Онегин убивает Ленского на дуэли и уезжает из деревни путешествовать по России.,B_to_A
Размеры 540 х 750 см.,1.0000000000000007,Размеры 540 х 750 см.,B_to_A
Стали классикой русского и мирового оперного репертуара «Руслан и Людмила» М.И. ,0.5287201498198087,а оперы по произведениям Пушкина («Руслан и Людмила» М.И. ,B_to_A
"Воробьева,  «Сенатская площадь в зимнюю ночь» В.И. ",0.3940350044493941,"Воробьев, В.И. ",B_to_A
Но главное увлечение молодых лет героя это любовь – «наука страсти нежной».,0.3471994014196586,Главное увлечение юности Онегина – любовь.,B_to_A
Театр возглавил известный драматург и директор университетской гимназии М.М. ,0.8479444142619351,Театром руководил известный драматург и директор университетской гимназии М.М. ,B_to_A
"Там появилась резиденция Деда Мороза, туда под Новый год дети пишут письма с просьбами о подарках.",0.31198646598433927,"Эта традиция появилась в России в конце ХIХ в., а в конце ХХ в. у Деда Мороза появилась «резиденция» в городе Великий Устюг. ",B_to_A
"Сталину от народов СССР и зарубежных стран», но после смерти И.В. ",0.7793289874812652,Сталину от народов СССР и зарубежных стран». ,B_to_A
Разговорное название Государственного академического Мариинского театра – одного из самых старых музыкальных театров России.,0.4443338258750628,Разговорное название Мариинского театра Петербурга.,B_to_A
"В борщ также добавляют укроп, петрушку, чëрный перец, лавровый лист и чеснок. ",0.43599100580299455,"На столе в  тарелку борща добавляют укроп, петрушку и сметану.",B_to_A
"С 2005 г. новогодние каникулы появились и у взрослых: они начинаются 1 января и заканчиваются православным праздником Рождества Христова, являющимся также государственным праздником России.",0.8172147002679865,С 2005 г. новогодние каникулы появились и у взрослых: они начинаются  1 января и заканчиваются праздником Рождества Христова.,B_to_A
"В больших городах вечером включалась праздничная иллюминация и гремел праздничный салют. 1 Мая праздновали и в семьях, как многие другие государственные праздники. ",0.5830805464443363,В больших городах вечером гремел праздничный салют. ,B_to_A
"В разговорной речи используются выражения пойти на Таганку – это значит пойти в Театр на Таганке, билеты на Таганку – билеты в Театр на Таганке, репертуар Таганки – репертуар Театра на Таганке.",0.9158847248262848,"В разговорной речи используются выражения пойти на Таганку - это значит пойти в Театр на Таганке, билеты на Таганку - билеты в Театр на Таганке, репертуар Таганки - репертуар Театра на Таганке.",B_to_A
"Дата Пасхи меняется и рассчитывается по специальным таблицам – пасхалиям, но всегда приходится на весну и на воскресенье. ",0.663438690798786,День Пасхи рассчитывают по специальным таблицам – пасхалиям. ,B_to_A
"На оперной сцене выступали кумиры публики − Сергей Лемешев, Иван Козловский, Ирина Архипова, Елена Образцова, Галина Вишневская. ",0.6007027543790175,"В разные годы в Большом театре пели звезды русской оперы: Федор Шаляпин, Леонид Собинов, Сергей Лемешев, Антонина Нежданова, Иван Козловский, Ирина Архипова, Елена Образцова и Галина Вишневская.",B_to_A
"По русскому обычаю, надо сначала проводить старый год: вспомнить всë, что в нëм было, и выпить бокал вина (рюмку водки) за уходящий год. ",0.4957465166489548,"По традиции  вечером 31 декабря все провожают старый год, выпивают бокал вина (рюмку водки) за уходящий год. ",B_to_A
Фонд библиотеки сегодня превышает 44 млн. изданий.,0.3054101879076976,В фондах библиотеки находится более 44 миллионов книг. ,B_to_A
"Сумарокова (первого директора театра), И.А. ",0.26632719548024525,Первым директором театра был поэт и драматург А.П. ,B_to_A
"Мандельштама, И.А. ",0.8676495123086174,"Мандельштам, И.А. ",B_to_A
"Достоевский публикует документальное сочинение «Записки из мёртвого дома», в котором описал годы, проведённые на каторге; в 1861 г. − роман «Униженные и оскорблённые», продолживший исследование судьбы и психологии «маленького человека».",0.3748954073519088,Годы жизни на каторге Достоевский описал в книге «Записки из мёртвого дома».,B_to_A
Новый год) Л. ,0.7107361661586417,Новый год) Л.К. ,B_to_A
" Калинка, калинка, калинка моя,",1.0000000000000002," Калинка, калинка, калинка моя,",B_to_A
"Выражение девятый вал означает что−то роковое, угрожающее опасностью, с чем невозможно бороться. ",0.7046529127096216,"Выражение девятый вал означает что-то очень опасное, с чем невозможно бороться. ",B_to_A
Она знает язык животных и растений. ,0.9999999999999997,Она знает язык животных и растений. ,B_to_A
"Создана в 1881 г., находится в Третьяковской галерее (см. ",0.8798593361424986,"Картина написана в 1881 г., находится в Третьяковской галерее (см. ",B_to_A
", Да здравствует 1 Мая – День международной солидарности трудящихся!",0.5330338572747663,Советский Союз) период праздник назывался День международной солидарности трудящихся. ,B_to_A
На одном из самых известных пейзажей в творчестве Шишкина изображён густой непроходимый лес средней полосы России. ,0.603096394070909,На картине изображён густой лес средней полосы России. ,B_to_A
"При этом, качество дарёной шубы сильно различалось в зависимости от статуса получавшего подарок человека. ",0.14116775516939073,Дорогие шубы и сейчас остаются символом материального благополучия.,B_to_A
"За три месяца там были написаны «Маленькие трагедии», цикл повестей в прозе «Повести покойного Ивана Петровича Белкина», много лирических стихотворений. ",0.4874402342268212,"За три месяца он написал  знаменитые в будущем  «Повести Белкина», «Маленькие трагедии», последние главы «Евгения Онегина» ",B_to_A
"В трудную минуту на помощь Ивану-царевичу приходят животные, которых он когда-то спас или пожалел. ",0.5065992164394112,"Ему помогают животные, которым он когда-то помог, которых пожалел.",B_to_A
"В наше время имя Ивана-царевича используется в названиях артефактов, магазинов, фольклорных коллективов.",0.8651052911763174,"В наше время имя Ивана-царевича используется в названиях сувениров, магазинов, фольклорных коллективов.",B_to_A
"Онегин – представитель дворянской (см. дворянин) молодёжи 20-х годов ХIХ в. с характерным для неё критическим отношением к высшему свету, равнодушием к карьере, чувством личной независимости. ",0.43704030742936983,Онегин – представитель молодёжи 20-х годов ХIХ в. ,B_to_A
"«Колобок» – распространённое название ресторанов и особенно детских кафе, специализирующихся на сдобной выпечке, пирогах (см. пирог) и т. п. ",0.4436587951706036,"«Колобок» – популярное название ресторанов и особенно детских кафе, где готовят булочки, пироги (см. пирог).",B_to_A
Поэтому ради ее сохранения 1 сентября 1812 г. на военном совете в подмосковной деревне Фили Кутузов принял решение оставить Москву.,0.6911292487774628,"1 сентября на военном совете в деревне Фили Кутузов принял решение оставить Москву, чтобы сохранить армию.",B_to_A
"Свадьбу празднуют дома, в кафе или в ресторане. ",0.8131013021293094,"Свадьбу празднуют в кафе, в ресторане или дома. ",B_to_A
В 1908-1917 гг. главным режиссёром театра был В.Э. ,1.0000000000000004,В 1908-1917 гг. главным режиссёром театра был В.Э. ,B_to_A
"Клодта был открыт в Летнем саду Петербурга, в 1976 г. – работы А.А. ",0.3512521090658458,Крылову установилив Летнем саду Петербурга (скульптор - П.К. ,B_to_A
Праздник продолжается обычно несколько часов или до утра.,1.0000000000000002,Праздник продолжается обычно несколько часов или до утра.,B_to_A
"Традиционно музей называют Пушкинским, иногда по первоначальному наименованию – Музей изящных искусств.",0.5342161072390013,Традиционно музей называют Пушкинским.,B_to_A
Иванова.,0.9999999999999998,Иванова.,B_to_A
"В ХХ в. в театре танцевали великие балерины – Галина Уланова и Майя Плисецкая, Екатерина Максимова,  танцовщики – Николай Фадеечев и Владимир Васильев. ",0.7986541288701278,"В театре работали знаменитые балерины и танцовщики - Галина Уланова, Майя Плисецкая, Екатерина Максимова, Николай Фадеечев, Владимир Васильев и др. ",B_to_A
